时间点,总请求数,卡顿率,⾸首帧加载时⻓长,错误率
2019-05-22T19:40,8999,0.06067281,1504.6107,0.0046671852
2019-05-22T19:45,8932,0.06822853,1501.0818,0.0052619795
2019-05-22T19:50,9446,0.06966967,1510.4166,0.004022867
2019-05-22T19:55,9486,0.068887204,1532.7814,0.006008855
2019-05-22T20:00,10065,0.06340418,1529.6683,0.005067064
2019-05-22T20:05,10245,0.06529752,1562.1876,0.0050756466
2019-05-22T20:10,10579,0.06471854,1433.1472,0.0055770865
2019-05-22T20:15,10934,0.068087235,1397.6118,0.005396012
2019-05-22T20:20,11626,0.07223891,1382.7394,0.004644762
2019-05-22T20:25,11867,0.06931964,1391.2175,0.0028650882
2019-05-22T20:30,12187,0.067242734,1438.2151,0.004677115
2019-05-22T20:35,12327,0.06510107,1448.663,0.004461751
2019-05-22T20:40,12139,0.06588019,1428.0037,0.004695609
2019-05-22T20:45,12142,0.065064915,1452.6011,0.0041179378
2019-05-22T20:50,12489,0.06579335,1454.1926,0.00512451
2019-05-22T20:55,12658,0.07143936,1513.9747,0.0041870754
2019-05-22T21:00,12790,0.07924637,1474.492,0.0045347926
2019-05-22T21:05,12992,0.076719575,1475.4504,0.0053109606
2019-05-22T21:10,12956,0.07101365,1429.5029,0.0052485336
2019-05-22T21:15,13310,0.07162181,1496.2368,0.0051089404
2019-05-22T21:20,13545,0.062951356,1436.7014,0.004355851
2019-05-22T21:25,14023,0.07081366,1426.6967,0.004492619
2019-05-22T21:30,14060,0.070659675,1494.1217,0.0039829304
2019-05-22T21:35,14202,0.070316695,1384.4337,0.00457682
2019-05-22T21:40,14261,0.07101702,1423.0414,0.0041371575
2019-05-22T21:45,14128,0.07139001,1394.9556,0.0051670442
2019-05-22T21:50,14217,0.057881918,1407.9633,0.005205036
2019-05-22T21:55,14184,0.06591618,1429.1562,0.0037366047
2019-05-22T22:00,14094,0.06818182,1428.8304,0.0033347523
2019-05-22T22:05,14049,0.063566096,1439.1094,0.0054096375
2019-05-22T22:10,13709,0.06380084,1407.6469,0.0051790792
2019-05-22T22:15,13594,0.065618694,1411.4238,0.00434015
